PO,AREA,PARTY,MATERIAL
2100005417,RAMPUR,30000019   HARYANA TIMBERS,EUCALYPTUS-LOPS-AND-TOPS
2100005416,SITAPUR,30000019   HARYANA TIMBERS,EUCALYPTUS-LOPS-AND-TOPS
2100005419,RAMPUR,30000035   M.F.K.ENTERPRISES,EUCALYPTUS-LOPS-AND-TOPS
2100005418,SITAPUR,30000035   M.F.K.ENTERPRISES,EUCALYPTUS-LOPS-AND-TOPS
2100005420,RAMPUR,30000045   MARUTI TRADING COMPANY -(UP),EUCALYPTUS-LOPS-AND-TOPS
2100005421,SITAPUR,30000045   MARUTI TRADING COMPANY -(UP),EUCALYPTUS-LOPS-AND-TOPS
2100005422,SITAPUR,30000054   RUCHI ENTERPRISES,EUCALYPTUS-LOPS-AND-TOPS
2100005424,OTHER,30000061   SHIVA GOODS CARRIER PVT LTD,EUCALYPTUS-LOPS-AND-TOPS
2100005423,RAMPUR,30000061   SHIVA GOODS CARRIER PVT LTD,EUCALYPTUS-LOPS-AND-TOPS
2100005425,SITAPUR,30000061   SHIVA GOODS CARRIER PVT LTD,EUCALYPTUS-LOPS-AND-TOPS
2100005427,OTHER,30000072   SHIVA VEENER (INDIA) PVT LTD,EUCALYPTUS-LOPS-AND-TOPS
2100005426,RAMPUR,30000072   SHIVA VEENER (INDIA) PVT LTD,EUCALYPTUS-LOPS-AND-TOPS
2100005428,SITAPUR,30000072   SHIVA VEENER (INDIA) PVT LTD,EUCALYPTUS-LOPS-AND-TOPS
2100005430,OTHER,30000077   VINAYAK TRADERS,EUCALYPTUS-LOPS-AND-TOPS
2100005431,RAMPUR,30000077   VINAYAK TRADERS,EUCALYPTUS-LOPS-AND-TOPS
2100005432,SITAPUR,30000077   VINAYAK TRADERS,EUCALYPTUS-LOPS-AND-TOPS
2100005415,OTHER,30000152   A.K. INDUSTRIES (09CPTPS6130P1ZT),EUCALYPTUS-LOPS-AND-TOPS
2100005414,RAMPUR,30000152   A.K. INDUSTRIES (09CPTPS6130P1ZT),EUCALYPTUS-LOPS-AND-TOPS
2100005413,SITAPUR,30000152   A.K. INDUSTRIES (09CPTPS6130P1ZT),EUCALYPTUS-LOPS-AND-TOPS
2100005433,SITAPUR,30000158   DEV BHOOMI ENTERPRISES,EUCALYPTUS-LOPS-AND-TOPS
2100005429,RAMPUR,30000164   SHRI VINAYAK PLY IND P. LTD-UPs,EUCALYPTUS-LOPS-AND-TOPS
2100005305,OTHER,30000032   KHAN TIMBER,POPLAR-LOPS-AND-TOPS-2 INCH TO 12 INCH
2100005304,RAMPUR,30000032   KHAN TIMBER,POPLAR-LOPS-AND-TOPS-2 INCH TO 12 INCH
2100005306,RAMPUR,30000035   M.F.K.ENTERPRISES,POPLAR-LOPS-AND-TOPS-2 INCH TO 12 INCH
2100005308,RAMPUR,30000061   SHIVA GOODS CARRIER PVT LTD,POPLAR-LOPS-AND-TOPS-2 INCH TO 12 INCH
2100005307,SITAPUR,30000061   SHIVA GOODS CARRIER PVT LTD,POPLAR-LOPS-AND-TOPS-2 INCH TO 12 INCH
2100005312,SITAPUR,30000069   SHRI BALAJI ENTERPRISES -(RAMPUR),POPLAR-LOPS-AND-TOPS-2 INCH TO 12 INCH
2100005311,OTHER,30000072   SHIVA VEENER (INDIA) PVT LTD,POPLAR-LOPS-AND-TOPS-2 INCH TO 12 INCH
2100005309,RAMPUR,30000072   SHIVA VEENER (INDIA) PVT LTD,POPLAR-LOPS-AND-TOPS-2 INCH TO 12 INCH
2100005310,SITAPUR,30000072   SHIVA VEENER (INDIA) PVT LTD,POPLAR-LOPS-AND-TOPS-2 INCH TO 12 INCH
2100005315,OTHER,30000077   VINAYAK TRADERS,POPLAR-LOPS-AND-TOPS-2 INCH TO 12 INCH
2100005313,RAMPUR,30000077   VINAYAK TRADERS,POPLAR-LOPS-AND-TOPS-2 INCH TO 12 INCH
2100005314,SITAPUR,30000077   VINAYAK TRADERS,POPLAR-LOPS-AND-TOPS-2 INCH TO 12 INCH
